"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2024","132,380.58","133,261.97","133,691.05","132,001.55","","-0.58%"
"12/27/2024","133,148.41","133,940.73","134,232.73","132,836.86","","-0.48%"
"12/26/2024","133,786.19","133,163.02","134,266.41","133,085.13","","0.66%"
"12/25/2024","132,907.34","133,048.06","133,190.48","132,760.53","","0.02%"
"12/24/2024","132,881.22","133,487.16","134,054.70","132,844.78","","-0.31%"
"12/23/2024","133,289.48","133,481.20","134,220.47","133,214.88","","0.00%"
"12/20/2024","133,293.38","132,089.83","133,991.06","131,860.44","","1.02%"
"12/19/2024","131,942.55","131,480.61","133,793.58","131,422.42","","0.47%"
"12/18/2024","131,319.02","134,371.80","134,900.59","131,396.03","","-2.17%"
"12/17/2024","134,238.17","134,785.80","135,181.06","133,703.73","","-0.27%"
"12/16/2024","134,597.38","134,560.06","135,626.09","134,281.94","","0.09%"
"12/13/2024","134,472.47","136,251.48","136,859.17","134,464.69","","-1.18%"
"12/12/2024","136,074.77","137,573.50","138,394.91","135,999.06","","-0.98%"
"12/11/2024","137,414.58","135,898.45","137,808.95","134,932.59","","1.27%"
"12/10/2024","135,688.39","134,354.56","136,002.88","134,226.50","","1.14%"
"12/09/2024","134,157.41","132,356.13","135,191.30","131,977.83","","2.05%"
"12/06/2024","131,461.20","131,547.89","132,231.61","130,626.49","","0.08%"
"12/05/2024","131,359.84","131,994.81","132,750.17","131,125.25","","-0.37%"
"12/04/2024","131,844.59","131,494.45","132,363.36","131,150.91","","0.37%"
"12/03/2024","131,362.56","131,211.88","132,095.03","130,968.26","","0.26%"
"12/02/2024","131,018.28","131,602.95","131,886.25","129,994.80","","-0.33%"
"11/29/2024","131,456.66","130,976.86","132,224.16","130,625.77","","0.48%"
"11/28/2024","130,833.16","130,936.88","131,689.19","130,182.35","","-0.04%"
"11/27/2024","130,886.64","130,672.20","132,108.95","130,368.11","","0.26%"
"11/26/2024","130,548.60","130,222.48","131,098.39","129,274.75","","0.43%"
"11/25/2024","129,995.34","134,940.52","135,254.83","129,791.05","","-3.42%"
"11/22/2024","134,598.72","132,604.81","134,750.30","132,507.66","","1.72%"
"11/21/2024","132,323.89","131,731.95","133,302.92","131,656.09","","0.51%"
"11/20/2024","131,646.86","130,418.90","132,124.59","129,689.18","","1.05%"
